bookId,COUNT(*),cnum
3779,2,2
3780,51,51
3781,25,25
3782,4,4
3783,6,6
3785,7,7
3786,46,46
3787,8,8
3790,5,5
3791,34,34
3793,83,83
3795,100,100
3796,36,36
3797,170,170
3798,35,35
3799,43,43
3800,9,9
3801,13,13
3802,31,31
3804,2,2
3805,11,11
3806,28,28
3808,4,4
3809,57,57
3810,39,39
3812,86,86
3814,74,74
3817,23,23
3818,11,11
3820,57,57
3821,55,55
3823,9,9
3826,8,8
3827,25,25
3828,14,14
3831,98,98
3832,54,54
3833,13,13
3839,81,81
3841,6,6
3842,51,51
3843,175,175
3845,25,25
3846,5,5
3849,2,2
3851,8,8
3854,23,23
3855,64,64
3856,12,12
3857,42,21
3859,18,18
3861,9,9
3862,6,6
3863,8,8
3864,14,14
3865,29,29
3866,13,13
3867,4,4
3869,4,4
3871,28,28
3872,26,26
3873,4,4
3874,21,21
3875,19,19
3876,72,72
3877,15,15
3878,76,76
3879,46,46
3880,2,2
3881,40,40
3882,10,10
3883,20,20
3884,41,41
3885,13,13
3888,46,46
3890,6,6
3891,50,50
3892,76,76
3893,38,38
3895,61,61
3896,5,5
3899,3,3
3900,3,3
3904,59,59
3905,20,20
3906,8,8
3908,9,9
3910,30,30
3911,21,21
3913,23,23
3914,52,52
3915,33,33
3917,29,29
3919,4,4
3920,64,64
3922,13,13
3925,16,16
3927,10,10
3928,13,13
3929,11,11
3930,50,50
3932,3,3
3933,31,31
3935,24,24
3937,78,78
3938,63,63
3939,5,5
3941,8,8
3942,45,45
3947,19,19
3949,27,27
3951,36,36
3953,109,109
3954,90,90
3955,11,11
3958,2,2
3959,94,94
3960,40,40
3964,47,47
3966,9,9
3968,8,8
3969,27,27
3970,6,6
3972,21,21
3974,12,12
3976,43,43
3977,2,2
3978,4,4
3980,11,11
3982,12,12
3984,31,31
3987,51,51
3988,58,58
3989,35,35
3990,17,17
3993,15,15
3996,14,14
3997,7,7
4003,4,4
4005,36,36
4008,7,7
4010,87,87
4011,20,20
4013,6,6
4014,17,17
4016,37,37
4017,50,50
4019,5,5
4026,8,8
4037,4,4
4045,28,28
4048,54,28
4049,14,14
4050,5,5
4051,60,60
4052,19,19
4053,5,5
4054,23,23
4055,19,19
4056,26,26
4057,5,5
4058,65,65
4059,2,2
4060,60,60
4061,10,10
4062,27,27
4063,12,12
4064,16,16
4065,15,15
4066,9,9
4068,12,12
4069,7,7
4070,2,2
4071,7,7
4074,2,2
4075,2,2
4076,3,3
4080,2,2
4081,3,3
4085,5,5
4086,43,43
4088,3,3
4089,7,7
4090,4,4
4091,5,5
4092,3,3
4093,31,31
4094,11,11
4097,22,22
4098,28,28
4099,5,5
4100,2,2
4101,12,12
4102,4,4
4104,16,16
4107,31,31
4109,36,36
4110,47,47
4112,2,2
4114,5,5
4115,24,24
4116,39,39
4117,34,34
4118,14,14
4120,47,47
4121,54,54
4122,12,12
4123,45,45
4125,21,21
4127,3,3
4128,10,10
4132,12,12
4133,29,29
4134,7,7
4136,9,9
4137,13,13
4138,10,10
4142,7,7
4144,18,18
4145,5,5
4146,2,2
4147,15,15
4148,2,2
4149,3,3
4150,2,2
4151,82,82
4154,71,71
4156,27,27
4159,4,4
4160,3,3
4162,3,3
4163,3,3
4165,118,118
4167,35,35
4168,37,37
4169,8,8
4171,88,45
4172,9,9
4174,6,6
4178,13,13
4180,20,20
4182,2,2
4183,12,12
4185,10,10
4187,10,10
4188,2,2
4189,48,48
4191,12,12
4192,31,31
4193,38,38
4195,7,7
4199,148,148
4200,7,7
4201,24,24
4202,41,41
4203,281,31
4204,35,35
4205,15,15
4206,69,69
4207,9,9
4208,8,8
4211,41,41
4212,7,7
4213,28,28
4215,4,4
