bookId,COUNT(*),cnum
57283,48,48
57284,856,856
57285,46,46
57286,81,81
57287,425,425
57288,519,519
57289,269,269
57290,192,192
57291,308,308
57292,17,17
57293,203,203
57294,380,380
57295,345,345
57296,129,129
57297,453,453
57298,102,102
57299,329,329
57300,302,302
57301,123,123
57302,107,107
57303,102,102
57304,108,108
57305,452,452
57306,172,172
57307,60,60
57308,75,75
57309,1024,1024
57310,42,42
57311,790,790
57312,34,34
57313,176,176
57314,96,96
57315,467,467
57316,87,87
57317,43,43
57318,76,76
57319,559,559
57320,46,46
57321,125,125
57322,90,90
57323,18,18
57324,77,77
57325,274,274
57326,1398,1398
57327,592,592
57328,90,90
57329,217,217
57330,326,326
57331,290,290
57332,83,83
57333,44,44
57334,170,170
57335,149,149
57336,109,109
57337,66,66
57338,168,168
57339,245,245
57340,64,64
57341,334,334
57342,110,110
57343,46,46
57344,266,268
57345,43,43
57346,139,139
57347,369,369
57348,116,116
57349,98,98
57350,112,112
57351,300,300
57352,464,464
57353,175,175
57354,200,200
57355,118,118
57356,100,100
57357,93,93
57358,85,85
57359,217,217
57360,147,147
57361,323,323
57362,106,106
57363,1148,1148
57364,292,292
57365,49,49
57366,73,73
57367,99,99
57368,41,41
57369,262,262
57370,602,600
57371,724,724
57372,913,913
57373,307,307
57374,2128,2128
57375,74,74
57376,59,59
57377,625,625
57378,107,107
57379,1071,1071
57380,228,228
57381,792,792
57382,736,736
57383,85,85
57384,189,189
57385,385,385
57386,428,428
57387,451,451
57388,91,91
57389,145,145
57390,271,271
57391,441,441
57392,145,145
57393,338,338
57394,140,140
57395,304,304
57396,77,77
57397,46,46
57398,430,430
57399,164,164
57400,438,438
57401,146,146
57402,175,175
57403,210,210
57404,305,305
57405,373,373
57406,66,66
57407,195,195
57408,451,451
57409,52,52
57410,20,20
57411,91,91
57412,30,30
57413,296,296
57414,392,392
57415,284,284
57416,84,84
57417,285,285
57418,126,126
57419,61,61
57420,402,402
57421,312,312
57422,683,683
57423,243,243
57424,72,72
57425,757,757
57426,784,784
57427,64,64
57428,440,440
57429,119,119
57430,515,515
57431,83,83
57432,140,140
57433,191,191
57434,157,157
57435,112,112
57436,182,182
57437,1270,1270
57438,443,443
57439,486,486
57440,12,12
57441,162,162
57442,59,59
57443,164,164
57444,342,342
57445,206,206
57446,127,127
57447,320,320
57448,148,148
57449,18,18
57450,449,449
57451,427,427
57452,183,183
57453,171,171
57454,3883,3883
57455,1187,1185
57456,451,451
57457,19,19
57458,168,168
57459,119,119
57460,254,254
57461,102,102
57462,394,394
57463,297,297
57464,258,258
57465,86,86
57466,83,83
57467,210,210
57468,333,333
57469,52,52
57470,992,992
57471,495,495
57472,93,93
57473,124,124
57474,553,553
57475,92,92
57476,105,105
57477,460,460
57478,32,32
57479,59,59
57480,88,88
57481,309,309
57482,93,93
57483,107,107
57484,98,98
57485,770,770
57486,249,249
57487,195,195
57488,502,502
57489,123,123
57490,126,126
57491,331,331
57492,48,48
57493,325,325
57494,137,137
57495,43,43
57496,152,152
57497,226,226
57498,198,198
57499,348,348
57500,79,79
57501,137,137
57502,68,68
57503,268,268
57504,47,47
57505,612,612
57506,261,261
57507,196,196
57508,26,26
57509,40,40
57510,58,58
57511,154,154
57512,161,161
57513,83,83
57514,70,70
57515,70,70
57516,93,93
57517,374,374
57518,113,113
57519,99,99
57520,61,61
57521,113,113
57522,498,498
57523,28,28
57524,95,95
